DATASET_NAME;METHOD_NAME;BIN_NUMBER;BIN_CAPACITY;N;ELAPSED_TIME_MS;POP_SIZE;GENERATIONS;MUTATION_RATE;TOURNAMENT_SIZE
Scholl_2_N3W4B1R9.txt;Genetic_Algorithm;62;1000;200;16764.44;100;500;0.1;5
Scholl_2_N4W3B1R9.txt;Genetic_Algorithm;170;1000;500;46723.31;100;500;0.1;5
Scholl_2_N4W1B1R3.txt;Genetic_Algorithm;243;1000;500;48974.18;100;500;0.1;5
Scholl_2_N4W3B2R1.txt;Genetic_Algorithm;168;1000;500;45335.92;100;500;0.1;5
Scholl_2_N4W3B1R1.txt;Genetic_Algorithm;170;1000;500;46006.53;100;500;0.1;5
Scholl_2_N2W2B2R0.txt;Genetic_Algorithm;29;1000;100;8633.60;100;500;0.1;5
Scholl_2_N3W1B3R4.txt;Genetic_Algorithm;86;1000;200;18811.31;100;500;0.1;5
Scholl_2_N1W4B3R7.txt;Genetic_Algorithm;10;1000;50;4320.39;100;500;0.1;5
Scholl_2_N4W3B3R1.txt;Genetic_Algorithm;175;1000;500;46107.49;100;500;0.1;5
Scholl_2_N3W2B1R8.txt;Genetic_Algorithm;67;1000;200;17183.32;100;500;0.1;5
Scholl_2_N2W1B1R9.txt;Genetic_Algorithm;40;1000;100;9255.62;100;500;0.1;5
Scholl_2_N1W4B2R5.txt;Genetic_Algorithm;11;1000;50;4404.58;100;500;0.1;5
Scholl_2_N3W1B2R1.txt;Genetic_Algorithm;86;1000;200;18570.62;100;500;0.1;5
Scholl_2_N3W2B2R5.txt;Genetic_Algorithm;65;1000;200;17077.93;100;500;0.1;5
Scholl_2_N1W3B1R2.txt;Genetic_Algorithm;11;1000;50;4390.78;100;500;0.1;5
Scholl_2_N2W2B1R0.txt;Genetic_Algorithm;29;1000;100;8525.74;100;500;0.1;5
Scholl_2_N2W2B3R7.txt;Genetic_Algorithm;33;1000;100;8727.65;100;500;0.1;5
Scholl_2_N4W1B1R4.txt;Genetic_Algorithm;233;1000;500;49907.68;100;500;0.1;5
Scholl_2_N4W4B2R0.txt;Genetic_Algorithm;169;1000;500;46122.26;100;500;0.1;5
Scholl_2_N3W4B3R4.txt;Genetic_Algorithm;65;1000;200;17053.81;100;500;0.1;5
Scholl_2_N4W1B1R8.txt;Genetic_Algorithm;229;1000;500;49421.83;100;500;0.1;5
Scholl_2_N1W2B1R8.txt;Genetic_Algorithm;13;1000;50;4511.66;100;500;0.1;5
Scholl_2_N1W1B2R9.txt;Genetic_Algorithm;20;1000;50;4961.62;100;500;0.1;5
Scholl_2_N3W3B2R2.txt;Genetic_Algorithm;62;1000;200;16971.81;100;500;0.1;5
Scholl_2_N2W3B1R7.txt;Genetic_Algorithm;30;1000;100;8677.85;100;500;0.1;5
Scholl_2_N4W1B2R9.txt;Genetic_Algorithm;226;1000;500;49870.06;100;500;0.1;5
Scholl_2_N1W1B1R8.txt;Genetic_Algorithm;21;1000;50;5066.19;100;500;0.1;5
Scholl_2_N2W1B3R7.txt;Genetic_Algorithm;39;1000;100;9287.41;100;500;0.1;5
Scholl_2_N3W2B2R0.txt;Genetic_Algorithm;64;1000;200;16810.16;100;500;0.1;5
Scholl_2_N2W4B1R8.txt;Genetic_Algorithm;25;1000;100;8565.55;100;500;0.1;5
Scholl_2_N1W4B3R1.txt;Genetic_Algorithm;12;1000;50;4381.71;100;500;0.1;5
Scholl_2_N2W1B3R9.txt;Genetic_Algorithm;39;1000;100;9421.11;100;500;0.1;5
Scholl_2_N1W1B3R6.txt;Genetic_Algorithm;18;1000;50;4811.48;100;500;0.1;5
Scholl_2_N1W2B3R6.txt;Genetic_Algorithm;13;1000;50;4515.20;100;500;0.1;5
Scholl_2_N4W4B3R7.txt;Genetic_Algorithm;171;1000;500;46103.69;100;500;0.1;5
Scholl_2_N3W2B2R6.txt;Genetic_Algorithm;64;1000;200;16985.64;100;500;0.1;5
Scholl_2_N3W1B3R7.txt;Genetic_Algorithm;86;1000;200;18118.11;100;500;0.1;5
Scholl_2_N4W2B1R3.txt;Genetic_Algorithm;175;1000;500;46833.41;100;500;0.1;5
Scholl_2_N3W4B3R8.txt;Genetic_Algorithm;63;1000;200;16676.17;100;500;0.1;5
Scholl_2_N3W2B3R7.txt;Genetic_Algorithm;66;1000;200;17135.01;100;500;0.1;5
Scholl_2_N3W4B1R4.txt;Genetic_Algorithm;65;1000;200;17211.97;100;500;0.1;5
Scholl_2_N1W2B2R6.txt;Genetic_Algorithm;14;1000;50;4533.27;100;500;0.1;5
Scholl_2_N3W4B3R0.txt;Genetic_Algorithm;66;1000;200;16987.97;100;500;0.1;5
Scholl_2_N4W2B1R2.txt;Genetic_Algorithm;176;1000;500;46469.12;100;500;0.1;5
Scholl_2_N4W2B2R8.txt;Genetic_Algorithm;177;1000;500;46832.23;100;500;0.1;5
Scholl_2_N1W2B2R5.txt;Genetic_Algorithm;14;1000;50;4577.33;100;500;0.1;5
Scholl_2_N3W2B3R2.txt;Genetic_Algorithm;64;1000;200;17018.11;100;500;0.1;5
Scholl_2_N3W4B3R2.txt;Genetic_Algorithm;59;1000;200;16717.95;100;500;0.1;5
Scholl_2_N3W1B1R3.txt;Genetic_Algorithm;84;1000;200;18797.93;100;500;0.1;5
Scholl_2_N3W2B3R5.txt;Genetic_Algorithm;65;1000;200;17236.31;100;500;0.1;5
Scholl_2_N3W1B1R4.txt;Genetic_Algorithm;85;1000;200;19033.99;100;500;0.1;5
Scholl_2_N4W3B2R9.txt;Genetic_Algorithm;180;1000;500;51213.25;100;500;0.1;5
Scholl_2_N3W1B2R9.txt;Genetic_Algorithm;92;1000;200;20034.27;100;500;0.1;5
Scholl_2_N3W4B1R1.txt;Genetic_Algorithm;62;1000;200;17076.76;100;500;0.1;5
Scholl_2_N4W2B1R8.txt;Genetic_Algorithm;179;1000;500;46962.54;100;500;0.1;5
Scholl_2_N4W4B3R9.txt;Genetic_Algorithm;173;1000;500;46216.46;100;500;0.1;5
Scholl_2_N3W1B1R9.txt;Genetic_Algorithm;86;1000;200;18790.63;100;500;0.1;5
Scholl_2_N3W1B1R7.txt;Genetic_Algorithm;82;1000;200;18523.11;100;500;0.1;5
Scholl_2_N4W3B2R7.txt;Genetic_Algorithm;180;1000;500;47019.10;100;500;0.1;5
Scholl_2_N3W2B1R6.txt;Genetic_Algorithm;61;1000;200;16862.77;100;500;0.1;5
Scholl_2_N3W3B2R7.txt;Genetic_Algorithm;65;1000;200;17074.79;100;500;0.1;5
Scholl_2_N4W4B1R1.txt;Genetic_Algorithm;171;1000;500;46475.65;100;500;0.1;5
Scholl_2_N2W2B3R2.txt;Genetic_Algorithm;29;1000;100;8764.93;100;500;0.1;5
Scholl_2_N3W3B2R3.txt;Genetic_Algorithm;61;1000;200;16818.48;100;500;0.1;5
Scholl_2_N4W4B2R9.txt;Genetic_Algorithm;169;1000;500;46167.13;100;500;0.1;5
Scholl_2_N4W2B3R5.txt;Genetic_Algorithm;174;1000;500;47048.67;100;500;0.1;5
Scholl_2_N2W3B2R9.txt;Genetic_Algorithm;28;1000;100;8608.08;100;500;0.1;5
Scholl_2_N4W4B1R4.txt;Genetic_Algorithm;165;1000;500;46372.36;100;500;0.1;5
Scholl_2_N1W4B3R6.txt;Genetic_Algorithm;12;1000;50;4483.39;100;500;0.1;5
Scholl_2_N2W3B2R4.txt;Genetic_Algorithm;25;1000;100;8457.78;100;500;0.1;5
Scholl_2_N2W1B1R4.txt;Genetic_Algorithm;42;1000;100;9574.18;100;500;0.1;5
Scholl_2_N1W2B3R8.txt;Genetic_Algorithm;13;1000;50;4422.24;100;500;0.1;5
Scholl_2_N1W3B2R5.txt;Genetic_Algorithm;11;1000;50;4431.14;100;500;0.1;5
Scholl_2_N2W4B1R5.txt;Genetic_Algorithm;28;1000;100;8553.86;100;500;0.1;5
Scholl_2_N3W3B3R7.txt;Genetic_Algorithm;64;1000;200;17101.09;100;500;0.1;5
Scholl_2_N2W2B2R5.txt;Genetic_Algorithm;31;1000;100;8879.57;100;500;0.1;5
Scholl_2_N2W3B2R3.txt;Genetic_Algorithm;27;1000;100;8501.22;100;500;0.1;5
Scholl_2_N2W4B1R0.txt;Genetic_Algorithm;23;1000;100;8192.40;100;500;0.1;5
Scholl_2_N3W1B3R0.txt;Genetic_Algorithm;95;1000;200;18812.84;100;500;0.1;5
Scholl_2_N1W4B2R9.txt;Genetic_Algorithm;13;1000;50;4513.16;100;500;0.1;5
Scholl_2_N3W4B3R3.txt;Genetic_Algorithm;62;1000;200;17001.99;100;500;0.1;5
Scholl_2_N1W4B2R4.txt;Genetic_Algorithm;11;1000;50;4492.69;100;500;0.1;5
Scholl_2_N4W1B2R6.txt;Genetic_Algorithm;253;1000;500;49392.58;100;500;0.1;5
Scholl_2_N3W2B3R1.txt;Genetic_Algorithm;65;1000;200;16818.47;100;500;0.1;5
Scholl_2_N2W1B1R3.txt;Genetic_Algorithm;43;1000;100;9552.82;100;500;0.1;5
Scholl_2_N2W4B2R5.txt;Genetic_Algorithm;29;1000;100;8569.22;100;500;0.1;5
Scholl_2_N2W1B2R5.txt;Genetic_Algorithm;42;1000;100;9481.99;100;500;0.1;5
Scholl_2_N1W3B2R4.txt;Genetic_Algorithm;12;1000;50;4494.92;100;500;0.1;5
Scholl_2_N2W3B3R8.txt;Genetic_Algorithm;28;1000;100;8560.12;100;500;0.1;5
Scholl_2_N4W2B1R7.txt;Genetic_Algorithm;183;1000;500;47128.20;100;500;0.1;5
Scholl_2_N2W2B1R8.txt;Genetic_Algorithm;32;1000;100;8834.25;100;500;0.1;5
Scholl_2_N3W2B3R9.txt;Genetic_Algorithm;69;1000;200;17477.13;100;500;0.1;5
Scholl_2_N1W3B2R1.txt;Genetic_Algorithm;12;1000;50;4428.74;100;500;0.1;5
Scholl_2_N2W3B1R4.txt;Genetic_Algorithm;27;1000;100;8594.07;100;500;0.1;5
Scholl_2_N2W4B1R6.txt;Genetic_Algorithm;27;1000;100;8478.12;100;500;0.1;5
Scholl_2_N1W2B2R9.txt;Genetic_Algorithm;14;1000;50;4541.96;100;500;0.1;5
Scholl_2_N4W1B2R7.txt;Genetic_Algorithm;243;1000;500;49288.11;100;500;0.1;5
Scholl_2_N1W3B2R2.txt;Genetic_Algorithm;11;1000;50;4411.73;100;500;0.1;5
Scholl_2_N1W3B3R5.txt;Genetic_Algorithm;12;1000;50;4447.05;100;500;0.1;5
Scholl_2_N4W3B1R4.txt;Genetic_Algorithm;176;1000;500;45944.49;100;500;0.1;5
