DATASET_NAME;METHOD_NAME;BIN_NUMBER;BIN_CAPACITY;N;ELAPSED_TIME_MS
Scholl_2_N3W4B1R9.txt;Next_fit;23;1000;200;0.01488
Scholl_2_N3W4B1R9.txt;First_fit;24;1000;200;0.17931
Scholl_2_N3W4B1R9.txt;Best_fit;24;1000;200;0.17646
Scholl_2_N4W3B1R9.txt;Next_fit;76;1000;500;0.03610
Scholl_2_N4W3B1R9.txt;First_fit;75;1000;500;1.30240
Scholl_2_N4W3B1R9.txt;Best_fit;75;1000;500;0.99252
Scholl_2_N4W1B1R3.txt;Next_fit;206;1000;500;0.03689
Scholl_2_N4W1B1R3.txt;First_fit;187;1000;500;3.16535
Scholl_2_N4W1B1R3.txt;Best_fit;187;1000;500;2.35363
Scholl_2_N4W3B2R1.txt;Next_fit;76;1000;500;0.03579
Scholl_2_N4W3B2R1.txt;First_fit;72;1000;500;1.35627
Scholl_2_N4W3B2R1.txt;Best_fit;72;1000;500;1.05341
Scholl_2_N4W3B1R1.txt;Next_fit;75;1000;500;0.03583
Scholl_2_N4W3B1R1.txt;First_fit;75;1000;500;1.29563
Scholl_2_N4W3B1R1.txt;Best_fit;75;1000;500;0.98878
Scholl_2_N2W2B2R0.txt;Next_fit;23;1000;100;0.00969
Scholl_2_N2W2B2R0.txt;First_fit;21;1000;100;0.08599
Scholl_2_N2W2B2R0.txt;Best_fit;21;1000;100;0.08858
Scholl_2_N3W1B3R4.txt;Next_fit;96;1000;200;0.01618
Scholl_2_N3W1B3R4.txt;First_fit;69;1000;200;0.54491
Scholl_2_N3W1B3R4.txt;Best_fit;69;1000;200;0.52686
Scholl_2_N1W4B3R7.txt;Next_fit;5;1000;50;0.00541
Scholl_2_N1W4B3R7.txt;First_fit;6;1000;50;0.01842
Scholl_2_N1W4B3R7.txt;Best_fit;6;1000;50;0.03040
Scholl_2_N4W3B3R1.txt;Next_fit;77;1000;500;0.03558
Scholl_2_N4W3B3R1.txt;First_fit;71;1000;500;1.59504
Scholl_2_N4W3B3R1.txt;Best_fit;71;1000;500;1.18710
Scholl_2_N3W2B1R8.txt;Next_fit;44;1000;200;0.01490
Scholl_2_N3W2B1R8.txt;First_fit;43;1000;200;0.31207
Scholl_2_N3W2B1R8.txt;Best_fit;43;1000;200;0.25919
Scholl_2_N2W1B1R9.txt;Next_fit;41;1000;100;0.00936
Scholl_2_N2W1B1R9.txt;First_fit;37;1000;100;0.13477
Scholl_2_N2W1B1R9.txt;Best_fit;37;1000;100;0.12110
Scholl_2_N1W4B2R5.txt;Next_fit;6;1000;50;0.00590
Scholl_2_N1W4B2R5.txt;First_fit;7;1000;50;0.01874
Scholl_2_N1W4B2R5.txt;Best_fit;7;1000;50;0.02636
Scholl_2_N3W1B2R1.txt;Next_fit;78;1000;200;0.01518
Scholl_2_N3W1B2R1.txt;First_fit;71;1000;200;0.51531
Scholl_2_N3W1B2R1.txt;Best_fit;71;1000;200;0.41937
